date,R_H,Precipitation,ET,GW1428A,GW1430,GW285,HK4003U,HK4004U,HK4012H,HK4013H,HK4014H,HK4101U,HK4102U,HK4115U,HK4206U,HK4226B,HK4256U,HK4258U,HK4262U,HK4302H,SGU903074482,SGU909128423,SGU912799781,SGU912799806,SGU912799815,SGU912799853
11/7/2014,93,0,1.088449521,,,,,,28.4831744,,22.62221517,46.49,44.85,,,,,,,,,,,,,
11/8/2014,89,0.2,1.275257065,,,,,,,,,,,,,,,,,,,,,,,
11/9/2014,90,0.5,1.678415926,,,,,,,,,,,,,,,,,,,,,,,
11/10/2014,89,6.3,1.252728899,,,,,,,,,,,,,,,,,,,,,,,
11/11/2014,91,0,1.57094689,,,,,,,,,,,,,,,,,,,,,,,
11/12/2014,92,0,1.477849305,,,,,,,,,,,,,,,,,,,,,,,
11/13/2014,87,0.8,1.529140332,,,,,,,,,,,,,,,,,,,,,,,
11/14/2014,92,0,1.390521322,,,,,,,,,,,,,,,,,,,,,,,
11/15/2014,86,0.5,1.455599464,,,,,,,,,,,,,,,,,,,,,,,
11/16/2014,85,0.1,1.392473491,,,,,,,,,,,,,,,,,,,,,,,
11/17/2014,84,7.4,1.266792195,,,,,,,,,,,,,,,,,,,,,,,
11/18/2014,89,0.1,1.339120117,,,,,,,,,,,,,,,,,,,,,,,
11/19/2014,83,0.1,1.245265269,,,,,,,,,,,,,,,,,,,,,,,
11/20/2014,85,0.2,1.213086184,,,,,,,,,,,,,,,,,,,,,,,
11/21/2014,95,0.1,1.291578604,,,,,,,,,,,,,,,,,,,,,,,
11/22/2014,84,0.1,1.30073749,,,,,,,,,,,,,,,,,,,,,,,
11/23/2014,89,8.3,1.278228861,,,,,,,,,,,,,,,,,,,,,,,
11/24/2014,89,5.8,1.817610348,,,,,,,,,,,,,,,,,,,,,,,
11/25/2014,78,0,2.310509844,,,,,,,,,,,,,,,,,,,,,,,
11/26/2014,91,0,1.416563325,45.16,17.6,,,,,,,,,,,,,,,,,,,,,
11/27/2014,90,0,1.269212363,,,,,,,,,,,,,,,,,,,,,,,
11/28/2014,88,0,1.679142816,,,,,,,,,,,,,,,,,,,,,,,
11/29/2014,75,0,1.297333863,,,,,,,,,,,,,,,,,,,,,,,
11/30/2014,80,0,1.865623374,,,,,,,,,,,,,,,,,,,,,,,
12/1/2014,80,0,1.551275814,,,,,,,,,,,,,,,,,,,,,,,
12/2/2014,78,0,1.262808942,,,,,,,,,,,,,,,,,,,,,,,
12/3/2014,81,0,1.27570157,,,,,,,,,,,,,,,,,,,,,,,
12/4/2014,86,0,1.252971528,,,,18.1,19.63,27.681452,,22.23694119,46.32,44.63,15.989,,,,,,,,,,,,
12/5/2014,85,6.8,1.124025108,,,,,,,,,,,,,,,,,,,,,,,
12/6/2014,93,1.7,1.686492192,,,,,,,,,,,,,,,,,,,,,,,
12/7/2014,84,25.5,0.99696578,,,,,,,,,,,,,,,,,,,,,,,
12/8/2014,78,0,1.640733126,,,,,,,,,,,,,,,,,,,,,,,
12/9/2014,84,21,1.650273782,,,,,,,,,,,,,,,,,,,,,,,
12/10/2014,87,7.7,1.171618729,,,,,,,,,,,,,,,,,,,,,,,
12/11/2014,91,3.1,1.238266702,,,,,,,,,,,,,,,,,,,,,,,
12/12/2014,84,6.7,1.153661557,,,,,,,,,,,,,,,,,,,,,,,
12/13/2014,86,0.5,1.85631136,,,,,,,,,,,,,,,,,,,,,,,
12/14/2014,78,10.1,1.209604385,,,,,,,,,,,,,,,,,,,,,,,
12/15/2014,90,5,1.341347472,,,,,,,,,,,,,,,,,,,,,,,
12/16/2014,66,1.5,1.393111866,,,,,,,,,,,,,,,,,,,,,,,
12/17/2014,77,3.1,1.479193646,,,,,,,,,,,,,,,,,,,,,,,
12/18/2014,85,12.6,1.115241556,,,,,,,,,,,,,,,,,,,,,,,
12/19/2014,98,1.3,1.527794541,,,,,,,,,,,,,,,,,,,,,,,
12/20/2014,83,2.9,1.376858958,,,,,,,,,,,,,,,,,,,,,,,
12/21/2014,69,13,1.329843135,,,,,,,,,,,,,,,,,,,,,,,
12/22/2014,96,0,1.452011057,,,,,,,,,,,,,,,,,,,,,,,
12/23/2014,80,0,1.560930126,,,,,,,,,,,,,,,,,,,,,,,
12/24/2014,84,0.7,1.215891974,,,,,,,,,,,,,,,,,,,,,,,
12/25/2014,83,0,1.499748335,,,,,,,,,,,,,,,,,,,,,,,
12/26/2014,72,7.9,0.91411701,,,,,,,,,,,,,,,,,,,,,,,
12/27/2014,89,0,0.974774659,,,,,,,,,,,,,,,,,,,,,,,
12/28/2014,89,0.4,0.882050924,,,,,,,,,,,,,,,,,,,,,,,
12/29/2014,86,1.3,0.875576787,,,,,,,,,,,,,,,,,,,,,,,
12/30/2014,92,0,1.05323565,,,,,,,,,,,,,,,,,,,,,,,
12/31/2014,97,0.3,1.301418618,,,,,,,,,,,,,,,,,,,,,,,
1/1/2015,92,17.3,1.128271072,,,,,,,,,,,,,,,,,,,,,,,
1/2/2015,96,0,1.642593662,,,,,,,,,,,,,,,,,,,,,,,
1/3/2015,75,0.1,2.058724486,,,,,,,,,,,,,,,,,,,,,,,
1/4/2015,58,0,2.282002609,,,,,,,,,,,,,,,,,,,,,,,
1/5/2015,66,0,1.468920378,,,,,,,,,,,,,,,,,,,,,,,
1/6/2015,85,8.4,1.39283664,,,,,,,,,,,,,,,,,,,,,,,
1/7/2015,92,10.7,1.641535324,,,,,,,,,,,,,,,,,,,,,,,
1/8/2015,93,0.1,1.155981206,,,,18.27,19.82,28.18373343,,22.97929836,,44.92,16.179,,,,,,,,,,,,
1/9/2015,0,12.8,1.152915174,,,,,,,,,,,,,,,,,,,,,,,
1/10/2015,0,12.9,1.627648214,,,,,,,,,,,,,,,,,,,,,,,
1/11/2015,69,3.7,1.761104733,,,,,,,,,,,,,,,,,,,,,,,
1/12/2015,78,4.5,1.261598155,,,,,,,,,,,,,,,,,,,,,,,
1/13/2015,77,2.3,1.358075739,,,,,,,,,,,,,,,,,,,,,,,
1/14/2015,86,0.6,1.040967221,,,,,,,,,,,,,,,,,,,,,,,
1/15/2015,93,18.6,1.108322914,,,,,,,,,,,,,,,,,,,,,,,
1/16/2015,85,0,1.569080175,,,,,,,,,,,,,,,,,,,,,,,
1/17/2015,84,0.8,1.255693265,,,,,,,,,,,,,,,,,,,,,,,
1/18/2015,88,2.2,1.178948414,,,,,,,,,,,,,,,,,,,,,,,
1/19/2015,91,1.4,1.047675839,,,,,,,,,,,,,,,,,,,,,,,
1/20/2015,86,2.4,1.018843174,,,,,,,,,,,,,,,,,,,,,,,
1/21/2015,91,0.3,1.016262212,,,,,,,,,,,,,,,,,,,,,,,
1/22/2015,90,0,1.038809851,,,,,,,,,,,,,,,,,,,,,,,
1/23/2015,86,0.2,1.148751452,,,,,,,,,,,,,,,,,,,,,,,
1/24/2015,81,8.9,0.920151152,,,,,,,,,,,,,,,,,,,,,,,
1/25/2015,86,0,1.841011861,,,,,,,,,,,,,,,,,,,,,,,
1/26/2015,93,16.7,0.843058087,,,,,,,,,,,,,,,,,,,,,,,
1/27/2015,93,0,1.095602575,45.34,17.19,,,,,,,,,,,,,,,,,,,,,
1/28/2015,94,17.6,0.833013702,,,,,,,,,,,,,,,,,,,,,,,
1/29/2015,91,10.4,0.951194174,,,,,,,,,,,,,,,,,,,,,,,
1/30/2015,91,2.8,1.189573575,,,,,,,,,,,,,,,,,,,,,,,
1/31/2015,90,1.2,0.913687994,,,,,,,,,,,,,,,,,,,,,,,
2/1/2015,89,1.1,0.943427249,,,,,,,,,,,,,,,,,,,,,,,
2/2/2015,81,0.9,0.965976265,,,,,,,,,,,,,,,,,,,,,,,
2/3/2015,83,0,0.807193892,,,,,,,,,,,,,,,,,,,,,,,
2/4/2015,85,0,0.860735497,,,,,,,,,,,,,,,,,,,,,,,
2/5/2015,86,0,0.82286597,,,,,,,,,,,,,,,,,,,,,,,
2/6/2015,88,0,0.909402742,,,,,,,,,,,,,,,,,,,,,,,
2/7/2015,95,0,1.933083583,,,,,,,,,,,,,,,,,,,,,,,
2/8/2015,56,0,2.112624624,,,,,,,,,,,,,,,,,,,,,,,
2/9/2015,85,0,2.771984891,,,,18.14,19.71,27.89395568,,22.9412295,49.13,44.79,16.119,,,,,,,,,,,,
2/10/2015,89,0,1.959808524,,,,,,,,,,,,,,,,,,,,,,,
2/11/2015,88,0,1.012839611,,,,,,,,,,,,,,,,,,,,,,,
2/12/2015,86,0.8,1.00992353,,,,,,,,,,,,,,,,,,,,,,,
2/13/2015,93,1.3,0.928224217,,,,,,,,,,,,,,,,,,,,,,,
2/14/2015,86,0,1.06398589,,,,,,,,,,,,,,,,,,,,,,,
2/15/2015,86,0,1.237537903,,,,,,,,,,,,,,,,,,,,,,,
2/16/2015,72,0,1.229432224,,,,,,,,,,,,,,,,,,,,,,,
2/17/2015,83,0.1,1.009993881,,,,,,,,,,,,,,,,,,,,,,,
2/18/2015,91,6.5,0.910781381,,,,,,,,,,,,,,,,,,,,,,,
2/19/2015,95,1.8,0.915346084,,,,,,,,,,,,,,,,,,,,,,,
2/20/2015,92,7.6,0.81122834,,,,,,,,,,,,,,,,,,,,,,,
2/21/2015,92,5.6,1.007556874,,,,,,,,,,,,,,,,,,,,,,,
2/22/2015,91,0,1.606496861,,,,,,,,,,,,,,,,,,,,,,,
2/23/2015,87,10.7,1.105224878,,,,,,,,,,,,,,,,,,,,,,,
2/24/2015,90,0.5,0.893083499,,,,,,,,,,,,,,,,,,,,,,,
2/25/2015,88,0.1,0.951602606,,,,,,,,,,,,,,,,,,,,,,,
2/26/2015,91,0,1.531499939,,,,,,,,,,,,,,,,,,,,,,,
2/27/2015,82,2.8,1.194745984,,,,,,,,,,,,,,,,,,,,,,,
2/28/2015,93,0,1.187188078,,,,,,,,,,,,,,,,,,,,,,,
3/1/2015,82,7.8,1.097284933,,,,,,,,,,,,,,,,,,,,,,,
3/2/2015,90,4.4,0.970208161,,,,,,,,,,,,,,,,,,,,,,,
3/3/2015,90,0,1.765974192,,,,,,,,,,,,,,,,,,,,,,,
3/4/2015,86,0,2.001863507,,,,,,,,,,,,,,,,,,,,,,,
3/5/2015,90,3,1.969559283,,,,,,,,,,,,,,,,,,,,,,,
3/6/2015,91,0,1.57250352,,,,,,,,,,,,,,,,,,,,,,,
3/7/2015,92,0,1.050554515,,,,,,,,,,,,,,,,,,,,,,,
3/8/2015,88,1.2,1.195622143,,,,,,,,,,,,,,,,,,,,,,,
3/9/2015,94,3.4,2.311985163,,,,18.13,19.68,27.872236,,22.9229168,52.4,44.75,16.139,,,,,,,,,,,,
3/10/2015,89,0,1.86199177,,,,,,,,,,,,,,,,,,,,,,,
3/11/2015,79,0,2.759025549,,,,,,,,,,,,,,,,,,,,,,,
3/12/2015,82,0,2.595293317,,,,,,,,,,,,,,,,,,,,,,,
3/13/2015,75,0,2.560930675,,,,,,,,,,,,,,,,,,,,,,,
3/14/2015,73,0,2.446323981,,,,,,,,,,,,,,,,,,,,,,,
3/15/2015,59,0,2.540129298,,,,,,,,,,,,,,,,,,,,,,,
3/16/2015,77,0,1.801604851,,,,,,,,,,,,,,,,,,,,,,,
3/17/2015,81,0,2.58701014,,,,,,,,,,,,,,,,,,,,,,,
3/18/2015,69,0,1.965236116,,,47.6278589,,,,,,,,,,,,,,,,,,,,
3/19/2015,82,0,2.412140293,,17.12,,,,,,,,,,,,,,,,,,,,,
3/20/2015,88,7.2,1.237189323,,,,,,,,,,,,,,,,,,,,,,,
3/21/2015,94,0,1.566004053,,,,,,,,,,,,,,,,,,,,,,,
3/22/2015,60,0.9,1.243241119,,,,,,,,,,,,,,,,,,,,,,,
3/23/2015,82,2.6,0.91853741,,,,,,,,,,,,,,,,,,,,,,,
3/24/2015,93,0,2.09593203,45.7,17.55,,,,,,,,,,,,,,,,,,,,,
3/25/2015,93,3.9,1.17865548,,,,,,,,,,,,,,,,,,,,,,,
3/26/2015,63,11.2,1.103915469,,,,,,,,,,,,,,,,,,,,,,,
3/27/2015,92,0,1.337550259,,,,,,,,,,,,,,,,,,,,,,,
3/28/2015,89,13.2,1.755940986,,,,,,,,,,,,,,,,,,,,,,,
3/29/2015,89,5,0.904181798,,,,,,,,,,,,,,,,,,,,,,,
3/30/2015,93,2,0.867592185,,,,,,,,,,,,,,,,,,,,,,,
3/31/2015,75,0.5,1.169714969,,,,,,,,,,,,,,,,,,,,,,,
4/1/2015,85,0,2.207391728,,,,,,,,,,,,,,,,,,,,,,,
4/2/2015,67,0.2,1.943305256,,,,,,,,,,,,,,,,,,,,,,,
4/3/2015,80,0,2.084414875,,,,,,,,,,,,,,,,,,,,,,,
4/4/2015,79,0,2.220215383,,,,,,,,,,,,,,,,,,,,,,,
4/5/2015,78,0,2.040206895,,,,,,,,,,,,,,,,,,,,,,,
4/6/2015,61,0,2.098558213,,,,,,,,,,,,,,,,,,,,,,,
4/7/2015,86,0,1.56998943,,,,,,,,,,,,,,,,,,,,,,,
4/8/2015,88,0,2.586961796,,,,,,,,,,,,,,,,,,,,,,,
4/9/2015,66,0,2.434687179,,,,,19.65,27.72894,,22.82894754,,44.66,16.59,,,,,,,,,,,,
4/10/2015,92,0,0.781873225,,,,,,,,,,,,,,,,,,,,,,,
4/11/2015,94,3.7,2.550249946,,,,,,,,,,,,,,,,,,,,,,,
4/12/2015,78,8,2.183272196,,,,,,,,,,,,,,,,,,,,,,,
4/13/2015,88,0,2.415534146,,,,,,,,,,,,,,,,,,,,,,,
4/14/2015,71,12.6,0.930456905,,,,,,,,,,,,,,,,,,,,,,,
4/15/2015,82,14.6,1.069178905,,,,,,,,,,,,,,,,,,,,,,,
4/16/2015,76,0,2.363698647,,,,,,,,,,,,,,,,,,,,,,,
4/17/2015,81,0.3,1.95984964,,,,,,,,,,,,,,,,,,,,,,,
4/18/2015,74,0,2.022737449,,,,,,,,,,,,,,,,,,,,,,,
4/19/2015,63,0,2.491793982,,,,,,,,,,,,,,,,,,,,,,,
4/20/2015,87,0,2.999510545,,,,,,,,,,,,,,,,,,,,,,,
4/21/2015,81,0,2.43062763,,,,,,,,,,,,,,,,,,,,,,,
4/22/2015,77,0,2.517221926,,,,,,,,,,,,,,,,,,,,,,,
4/23/2015,67,0,2.093949704,,,,,,,,,,,,,,,,,,,,,,,
4/24/2015,86,0,1.961108128,,,,,,,,,,,,,,,,,,,,,,,
4/25/2015,96,5.7,1.441097818,,,,,,,,,,,,,,,,,,,,,,,
4/26/2015,90,0,1.806690275,,,,,,,,,,,,,,,,,,,,,,,
4/27/2015,78,0.5,1.578499371,,,,,,,,,,,,,,,,,,,,,,,
4/28/2015,76,0,1.970994435,,,,,,,,,,,,,,,,,,,,,,,
4/29/2015,71,2.3,1.516051733,,,,,,,,,,,,,,,,,,,,,,,
4/30/2015,79,9.1,1.136192227,,,,,,,,,,,,,,,,,,,,,,,
5/1/2015,91,2,1.566351195,,,,,,,,,,,,,,,,,,,,,,,
5/2/2015,90,0,1.760973428,,,,,,,,,,,,,,,,,,,,,,,
5/3/2015,86,5,1.6503535,,,,,,,,,,,,,,,,,,,,,,,
5/4/2015,48,2.1,1.53847089,,,,,,,,,,,,,,,,,,,,,,,
5/5/2015,100,15.1,1.196690008,,,,,,,,,,,,,,,,,,,,,,,
5/6/2015,89,3.9,1.774592983,,,,,,,,,,,,,,,,,,,,,,,
5/7/2015,89,1.3,1.238862359,,,,,19.76,27.92293346,,23.926148,48.2,44.75,16.69,,,,,,,,,,,,
5/8/2015,80,0,1.97635884,,,,,,,,,,,,,,,,,,,,,,,
5/9/2015,81,7,1.465202982,,,,,,,,,,,,,,,,,,,,,,,
5/10/2015,97,0,1.715826522,,,,,,,,,,,,,,,,,,,,,,,
5/11/2015,77,0.2,2.662706957,,,,,,,,,,,,,,,,,,,,,,,
5/12/2015,97,24.4,0.93428576,,,,,,,,,,,,,,,,,,,,,,,
5/13/2015,90,0.3,0.975722871,,,,,,,,,,,,,,,,,,,,,,,
5/14/2015,96,0,1.794361128,,,,,,,,,,,,,,,,,,,,,,,
5/15/2015,63,0,1.844622539,,,,,,,,,,,,,,,,,,,,,,,
5/16/2015,82,3.8,1.11224195,,,,,,,,,,,,,,,,,,,,,,,
5/17/2015,84,0,1.983485628,,,,,,,,,,,,,,,,,,,,,,,
5/18/2015,85,5.3,1.700340238,,,,,,,,,,,,,,,,,,,,,,,
5/19/2015,99,2.5,1.584829778,,,,,,,,,,,,,,,,,,,,,,,
5/20/2015,90,0.1,1.398572542,,,,,,,,,,,,,,,,,,,,,,,
5/21/2015,96,0,1.495497205,,,,,,,,,,,,,,,,,,,,,,,
5/22/2015,93,1.9,0.962407322,,,,,,,,,,,,,,,,,,,,,,,
5/23/2015,84,0,2.045925852,,,,,,,,,,,,,,,,,,,,,,,
5/24/2015,95,4.9,1.416062509,,,,,,,,,,,,,,,,,,,,,,,
5/25/2015,96,0,"1,594,255,640,817,320",45.1,17.9,,,,,,,,,,,,,,,,,,,,,
5/26/2015,91,0,1.620928825,,,,,,,,,,,,,,,,,,,,,,,
5/27/2015,94,0,1.913431235,,,,,,,,,,,,,,,,,,,,,,,
5/28/2015,94,8.4,0.966110362,,,,,,,,,,,,,,,,,,,,,,,
5/29/2015,85,6.3,1.294948926,,,,,,,,,,,,,,,,,,,,,,,
5/30/2015,85,5.2,1.20763655,,,,,,,,,,,,,,,,,,,,,,,
5/31/2015,83,20.9,1.690630297,,,,,,,,,,,,,,,,,,,,,,,
6/1/2015,95,0,1.707561407,,,,,,,,,,,,,,,,,,,,,,,
6/2/2015,91,18.6,0.842596019,,,,,,,,,,,,,,,,,,,,,,,
